chat_id,minutes_late,prompt,reply_length,rating
427,21.1,v2,200,68.98
428,18.1,v1,177,64.02
429,19.4,v1,226,67.44
430,0.1,v1,189,70.82
431,26.9,v2,283,73.62
432,19.6,v1,188,68.7
433,43.0,v2,252,62.04
434,29.5,v2,301,76.29
435,0.6,v1,266,80.34
436,11.0,v1,155,66.04
437,15.3,v1,270,77.18
438,47.6,v1,108,50.41
439,15.0,v2,308,77.69
440,4.1,v1,272,79.99
441,45.8,v2,177,59.15
442,13.7,v1,274,74.0
443,12.6,v1,210,70.03
444,50.7,v2,180,56.39
445,39.6,v1,331,63.37
446,36.6,v1,247,59.19
447,9.1,v1,97,61.06
448,2.9,v1,202,70.39
449,11.7,v2,258,71.85
450,28.6,v2,331,70.74
451,37.5,v2,228,56.59
452,43.8,v2,231,55.9
453,9.2,v2,150,75.45
454,46.8,v2,193,58.92
455,12.6,v1,195,77.61
456,53.4,v2,290,53.49
457,26.4,v2,318,77.38
458,35.2,v2,238,69.61
459,36.4,v1,257,69.45
460,47.2,v1,32,49.54
461,28.7,v2,247,68.77
462,25.8,v1,181,61.95
463,8.2,v1,200,79.48
464,21.1,v1,182,65.88
465,22.9,v1,131,63.78
466,11.6,v1,241,75.0
467,37.7,v1,182,54.17
468,38.4,v2,157,52.58
469,37.4,v2,331,69.56
470,10.3,v1,177,71.09
471,32.5,v2,322,72.18
472,50.2,v2,213,57.01
473,52.3,v2,334,59.26
474,15.5,v1,207,60.68
475,43.2,v2,253,57.07
476,22.2,v1,276,66.65
477,34.5,v2,350,76.51
478,52.9,v1,261,59.74
479,58.9,v2,256,56.99
480,46.9,v2,180,59.08
481,42.7,v1,171,56.21
482,50.3,v2,282,68.38
483,45.2,v2,209,61.37
484,23.6,v1,138,60.15
485,38.5,v2,309,62.82
486,30.3,v1,249,64.41
487,34.6,v2,341,63.93
488,45.6,v2,180,67.28
489,23.6,v1,124,57.92
490,41.2,v2,176,50.42
491,21.3,v1,300,71.33
492,20.6,v1,171,67.73
493,12.9,v1,243,79.79
494,33.9,v2,287,67.43
495,23.3,v2,224,68.57
496,56.0,v2,271,57.07
497,32.9,v1,151,53.55
498,8.6,v1,161,75.74
499,25.5,v1,217,71.67
500,14.5,v1,148,71.59
501,37.8,v2,190,63.82
502,7.3,v1,125,59.26
503,57.8,v2,256,64.26
504,49.2,v2,118,49.93
505,43.6,v2,358,62.18
506,41.2,v2,195,62.77
507,29.9,v1,249,68.37
508,20.4,v2,201,65.54
509,57.0,v2,353,65.38
510,7.2,v1,277,73.83
511,59.1,v2,225,55.28
512,38.5,v2,282,62.65
513,31.7,v2,181,57.07
514,47.2,v2,275,63.95
515,43.6,v2,295,64.04
516,21.7,v1,189,63.92
517,52.8,v2,113,55.42
518,4.1,v1,146,72.7
519,48.6,v2,200,50.28
520,46.3,v2,309,64.22
521,9.2,v2,283,74.5
522,51.3,v2,205,51.07
523,48.3,v2,302,65.96
524,31.0,v2,356,69.38
525,8.9,v1,175,68.28
526,20.5,v1,176,68.88
527,39.4,v1,314,70.19
528,21.8,v1,136,56.17
529,57.3,v2,168,58.9
530,14.4,v1,285,68.5
531,50.2,v2,261,65.56
532,57.1,v2,186,44.22
533,57.0,v2,434,72.91
534,33.6,v1,360,63.14
535,5.5,v1,143,72.72
536,36.3,v1,175,59.0
537,7.6,v1,121,66.72
538,36.9,v1,248,57.52
539,20.5,v2,186,74.01
540,22.5,v1,185,65.46
541,19.6,v1,225,69.54
542,12.8,v1,199,64.8
543,5.3,v1,257,73.86
544,43.3,v2,255,58.23
545,7.0,v1,303,77.69
546,24.0,v2,72,60.05
547,35.0,v1,189,58.96
548,20.3,v1,210,71.71
549,43.0,v2,241,65.71
550,15.9,v1,144,63.31
551,12.9,v2,323,78.26
552,12.8,v1,191,74.46
553,6.6,v1,285,79.55
554,53.9,v2,200,50.46
555,39.3,v1,203,56.22
556,58.2,v2,272,61.96
557,48.3,v2,248,55.62
558,11.1,v1,228,76.23
559,22.0,v1,287,74.96
560,15.0,v2,174,68.5
561,21.0,v1,203,62.02
562,37.1,v1,242,60.12
563,50.9,v2,342,76.64
564,39.9,v2,234,66.5
565,36.6,v2,256,64.3
566,29.8,v2,183,69.44
567,26.3,v2,261,70.14
568,29.5,v2,146,55.14
569,42.5,v2,194,56.47
570,42.2,v2,305,68.42
571,13.4,v2,219,64.37
572,19.5,v1,92,61.35
573,34.9,v2,318,65.48
574,22.4,v1,202,76.57
575,19.8,v1,260,73.91
576,8.2,v1,232,69.49
577,23.6,v1,300,70.88
578,26.8,v2,225,66.05
579,52.4,v2,338,63.98
580,19.3,v1,322,79.26
581,36.2,v2,315,65.53
582,38.4,v2,298,62.21
583,18.5,v1,203,59.46
584,25.7,v2,270,75.34
585,33.0,v1,121,55.37
586,48.6,v1,202,56.78
587,5.3,v1,247,76.26
588,29.8,v2,234,64.28
589,54.3,v1,202,45.85
590,41.0,v1,214,57.65
591,9.9,v1,184,77.85
592,9.7,v2,247,70.0
593,20.7,v1,260,69.83
594,16.8,v2,346,89.04
595,50.8,v2,295,61.78
596,24.0,v1,141,61.31
597,33.0,v2,283,72.69
598,53.0,v2,181,57.92
599,5.0,v1,32,57.85
600,37.4,v2,132,56.09
