chat_id,minutes_late,escalated,rating_v1,rating_v2
91,29.6,0,59.51,64.24
92,34.5,1,51.82,56.33
93,43.7,1,55.57,60.62
94,2.7,0,69.82,72.22
95,1.6,0,76.41,79.08
96,47.3,1,55.16,61.21
97,11.2,0,67.05,69.95
98,32.3,1,55.24,59.48
99,15.9,0,71.61,75.2
100,26.9,1,64.2,67.95
101,46.0,1,60.18,64.96
102,58.8,1,44.33,50.22
103,21.3,0,75.23,78.61
104,6.0,0,70.66,73.43
105,5.5,0,74.09,76.56
106,26.7,0,64.91,68.96
107,36.3,1,59.71,64.23
108,55.9,1,47.26,53.49
109,15.2,0,66.25,70.19
110,50.1,1,60.79,67.14
111,4.0,0,73.52,76.25
112,11.0,0,71.74,73.82
113,19.2,0,63.77,67.33
114,46.5,1,57.13,61.97
115,41.6,1,55.53,60.78
116,51.6,1,53.27,59.16
117,25.7,0,67.41,71.64
118,28.3,1,69.49,73.1
119,40.8,1,59.45,64.36
120,23.3,0,64.18,67.88
121,3.2,0,74.69,77.68
122,19.2,0,65.34,68.6
123,27.6,0,70.99,75.13
124,14.0,0,62.46,65.27
125,36.0,0,58.04,62.16
126,51.0,1,52.11,57.83
127,59.0,1,47.41,53.27
128,49.2,1,49.35,54.66
129,29.7,1,62.03,66.1
130,53.1,1,51.75,57.05
131,28.9,0,62.49,66.86
132,41.9,1,60.82,66.13
133,40.5,1,62.1,66.08
134,34.5,1,61.73,66.72
135,1.1,0,69.69,72.06
136,13.7,1,69.5,73.16
137,54.2,1,51.02,57.0
138,7.4,0,71.12,74.25
139,44.0,0,53.86,58.92
140,50.7,1,52.46,57.51
141,14.8,0,65.09,68.08
142,8.7,0,78.57,81.37
143,29.8,0,60.18,64.18
144,26.8,0,61.93,66.03
145,35.4,0,58.47,63.21
146,32.8,1,61.78,66.4
147,11.0,0,75.4,78.23
148,27.0,0,61.59,65.83
149,24.3,0,67.51,71.51
150,30.8,1,60.23,64.03
151,38.6,1,63.11,67.26
152,42.1,1,60.49,65.14
153,44.8,0,55.72,60.71
154,44.5,1,56.07,61.25
155,0.3,0,71.84,74.32
156,47.3,1,44.71,50.72
157,20.2,0,67.96,70.86
158,38.0,0,59.64,64.53
159,19.9,1,59.92,63.0
160,43.2,1,54.11,59.04
161,46.6,1,51.81,57.25
162,47.8,1,56.47,61.82
163,27.8,0,64.48,68.52
164,25.2,0,60.93,64.41
165,40.9,0,60.2,66.03
166,10.8,1,75.05,77.43
167,33.4,0,54.2,58.34
168,34.8,0,58.49,63.33
169,23.8,1,71.78,75.59
170,31.8,1,67.55,71.91
171,37.0,1,72.48,75.94
172,12.4,1,71.53,74.66
173,46.2,0,55.58,60.46
174,30.5,1,64.73,69.0
175,33.8,0,61.05,64.7
176,48.7,0,52.73,58.99
177,32.4,0,69.33,73.81
178,59.3,1,50.99,56.25
179,7.0,0,76.1,79.24
180,34.8,0,62.96,66.83
181,23.5,1,69.92,73.36
182,43.7,1,55.43,60.81
183,8.2,0,71.96,75.18
184,29.7,0,63.8,68.19
185,18.8,0,67.84,71.61
186,54.8,1,52.47,58.71
187,18.2,1,69.79,72.84
188,6.4,0,76.08,79.18
189,53.5,1,53.07,58.96
190,1.7,1,78.87,81.9
191,21.2,0,66.4,70.28
192,28.7,0,59.2,63.45
193,35.6,1,59.02,63.39
194,13.0,0,65.2,68.33
195,3.9,0,75.68,77.86
196,28.6,0,58.36,62.38
197,4.3,0,77.3,79.23
198,18.1,0,71.01,74.11
199,37.3,1,56.39,60.76
200,43.8,1,57.61,62.85
201,10.6,1,65.58,68.28
202,41.0,1,63.67,68.39
203,38.3,0,56.08,61.33
204,0.8,0,77.28,79.53
205,36.4,0,62.45,66.85
206,18.0,0,68.32,71.56
207,33.6,0,52.17,56.1
208,41.8,0,58.44,63.53
209,27.3,0,69.4,72.79
210,50.1,0,48.75,54.06
211,17.6,1,75.81,79.2
212,33.8,0,61.53,66.3
213,59.6,1,48.57,54.29
214,25.8,1,69.24,74.09
215,37.5,1,64.52,69.53
216,40.8,1,62.58,67.5
217,19.7,1,75.37,79.02
218,43.6,1,56.68,62.02
219,40.6,0,56.4,60.66
220,17.4,1,68.11,71.1
221,39.9,1,64.43,68.81
222,19.0,0,68.69,71.85
223,55.1,1,54.46,60.76
224,37.1,1,53.55,58.36
225,35.8,1,52.98,57.44
226,35.2,1,58.4,62.92
227,24.8,0,61.07,65.15
228,3.6,0,75.18,77.64
229,27.4,0,57.52,61.74
230,5.7,0,78.9,81.59
231,50.9,1,43.3,48.48
232,36.8,1,64.62,68.81
233,28.5,0,64.34,68.17
234,59.2,1,45.56,51.53
235,58.2,1,48.74,54.91
236,16.8,0,66.6,70.09
237,15.2,0,72.11,75.05
238,54.8,1,58.51,63.8
239,5.8,0,74.63,77.17
240,13.9,0,75.91,77.81
241,21.4,1,59.63,63.63
242,12.1,0,73.49,75.91
243,43.4,0,53.19,58.33
244,33.8,1,51.15,56.47
245,24.6,0,60.75,64.5
246,8.7,0,71.31,73.93
247,7.8,1,72.51,75.73
248,7.9,1,74.0,76.49
249,50.3,1,63.58,69.29
250,15.0,0,69.89,72.96
251,50.4,1,49.15,54.24
252,33.7,1,62.37,66.83
253,16.4,0,62.76,66.18
254,24.2,0,65.43,68.79
255,43.5,1,58.11,62.89
256,15.0,0,63.2,66.93
257,59.4,1,43.73,50.02
258,11.1,0,64.49,67.86
259,36.7,1,56.74,61.14
260,3.6,0,72.24,75.53
261,14.5,1,73.64,76.89
262,28.9,1,57.15,61.69
263,22.8,1,72.25,76.34
264,37.8,0,63.02,67.34
265,18.9,1,66.22,69.86
266,27.8,0,66.39,70.83
267,57.2,1,46.2,52.36
268,14.3,0,73.03,76.07
269,51.7,1,45.99,51.26
270,4.0,0,70.53,72.53
271,31.9,1,66.02,69.51
272,25.9,0,68.87,72.19
273,0.7,0,78.05,80.14
274,58.2,1,51.02,57.13
275,28.5,0,59.1,63.83
276,28.4,0,64.55,68.74
277,50.8,0,44.63,49.11
278,43.8,1,50.4,55.96
279,40.8,0,62.09,66.42
280,34.0,0,65.04,70.05
281,1.5,0,68.41,71.13
282,15.6,0,65.92,68.63
283,29.1,0,64.64,68.42
284,10.3,0,73.74,76.49
285,11.4,0,67.34,69.74
286,49.0,1,55.33,60.29
287,55.9,1,52.26,58.54
288,56.9,1,51.47,57.38
289,57.9,1,54.63,60.88
290,9.6,0,66.67,69.69
291,43.3,1,58.93,63.31
292,37.1,0,69.98,74.4
293,51.7,1,62.58,67.84
294,19.4,0,69.21,72.8
295,56.3,1,51.2,57.52
296,41.9,1,59.73,64.19
297,28.3,0,65.39,69.79
298,4.3,0,80.47,82.85
299,38.3,0,50.29,54.78
300,27.9,1,66.03,70.45
