request_id,latency_ms,prompt_tokens,batched,model_size_b,region,instance_type,server_id
191,149.39,1688,1,1.85,eu-west,medium,16
192,178.03,410,1,31.88,ap-south,small,3
193,103.0,543,1,19.6,ap-south,large,5
194,75.91,237,0,15.4,eu-west,large,1
195,219.69,1138,1,45.48,us-east,small,11
196,152.45,1983,1,23.02,us-east,small,19
197,117.05,943,1,1.99,ap-south,large,9
198,136.59,1109,0,48.52,ap-south,large,10
199,238.25,1154,1,55.13,eu-west,medium,11
200,159.12,1720,0,14.14,us-east,medium,17
201,244.05,1209,1,51.46,us-east,medium,11
202,120.43,814,1,34.54,us-east,large,7
203,116.54,278,0,6.22,eu-west,medium,2
204,152.37,1242,1,7.73,eu-west,medium,12
205,148.2,155,0,58.05,us-east,small,1
206,98.92,230,1,58.85,us-east,large,1
207,181.6,1081,1,37.65,ap-south,medium,10
208,188.42,1290,0,43.98,us-east,small,12
209,160.86,1249,0,48.52,ap-south,large,12
210,105.77,455,1,15.07,eu-west,medium,4
211,250.16,1646,0,44.12,eu-west,medium,16
212,163.0,941,0,24.05,ap-south,medium,9
213,179.03,1222,0,28.87,us-east,small,12
214,201.78,1846,0,51.89,eu-west,medium,18
215,136.67,905,1,41.18,ap-south,large,8
216,173.75,650,0,29.43,eu-west,small,6
217,177.65,1064,1,22.55,us-east,medium,10
218,78.73,359,1,16.66,ap-south,large,3
219,160.64,1504,1,5.79,eu-west,small,14
220,188.98,1242,0,33.4,us-east,small,12
221,195.63,1581,0,11.37,ap-south,medium,15
222,146.13,1265,0,29.62,us-east,medium,12
223,128.56,1320,0,12.1,eu-west,large,13
224,142.87,888,0,35.51,us-east,medium,8
225,141.41,165,0,39.33,us-east,small,1
226,234.71,1602,1,51.37,eu-west,small,15
227,136.12,394,1,6.09,us-east,small,3
228,171.48,1387,1,39.61,us-east,small,13
229,150.6,1169,0,32.74,us-east,medium,11
230,204.59,818,0,35.87,eu-west,small,7
231,231.01,1755,0,59.0,us-east,medium,17
232,146.66,365,1,16.1,eu-west,small,3
233,120.91,53,0,10.66,us-east,small,0
234,126.49,1246,0,2.72,ap-south,large,12
235,150.5,1496,0,26.58,us-east,medium,14
236,173.76,347,1,56.54,us-east,small,3
237,149.44,1269,0,45.49,us-east,medium,12
238,187.81,1792,0,68.24,us-east,large,17
239,130.1,1715,1,14.35,eu-west,large,17
240,152.74,788,0,16.93,us-east,medium,7
241,136.74,1421,1,22.84,ap-south,large,14
242,133.63,151,0,36.02,us-east,small,1
243,258.04,1681,1,38.73,us-east,small,16
244,244.64,1064,1,34.94,us-east,small,10
245,177.35,1430,1,42.65,us-east,medium,14
246,129.4,107,0,22.06,us-east,small,0
247,198.79,734,0,28.62,eu-west,small,7
248,135.55,1433,0,55.42,us-east,small,14
249,134.69,157,1,57.18,us-east,medium,1
250,94.16,84,1,33.19,ap-south,large,0
251,126.54,784,0,41.54,eu-west,large,7
252,199.11,1059,0,9.74,eu-west,small,10
253,195.15,1751,1,42.26,ap-south,medium,17
254,106.26,578,0,12.82,ap-south,large,5
255,122.08,431,0,39.86,eu-west,medium,3
256,212.13,820,0,67.03,us-east,small,7
257,125.37,1493,0,7.6,us-east,medium,14
258,110.95,520,1,17.37,ap-south,large,4
259,158.53,1321,0,38.52,ap-south,large,13
260,224.99,1632,0,26.62,eu-west,medium,16
261,115.15,82,1,44.01,us-east,medium,0
262,232.21,1802,0,40.26,ap-south,large,17
263,182.92,1594,1,59.92,us-east,large,15
264,122.82,1549,0,11.97,ap-south,large,15
265,286.67,1079,0,46.47,ap-south,small,10
266,125.43,455,0,50.75,eu-west,medium,4
267,191.03,1166,0,49.67,us-east,medium,11
268,191.79,1263,0,65.49,us-east,small,12
269,217.83,831,1,65.55,ap-south,large,8
270,161.51,887,0,22.07,eu-west,small,8
271,164.95,1423,0,25.34,ap-south,large,14
272,173.51,143,1,62.49,us-east,small,0
273,158.01,838,0,18.23,us-east,small,8
274,207.27,776,0,57.66,us-east,small,7
275,214.24,1559,0,8.29,us-east,small,15
276,153.98,458,1,63.04,eu-west,medium,4
277,131.72,1241,0,39.05,eu-west,medium,12
278,148.61,641,1,7.22,us-east,small,6
279,280.17,1355,1,64.7,eu-west,small,13
280,133.71,161,1,58.76,us-east,medium,1
281,70.52,296,0,48.72,us-east,large,2
282,204.1,1871,0,29.89,ap-south,large,18
283,142.51,272,0,33.64,us-east,small,2
284,105.37,1250,0,2.93,ap-south,large,12
285,212.8,1794,0,48.74,us-east,medium,17
286,179.74,646,0,33.69,eu-west,small,6
287,210.9,756,1,49.84,us-east,small,7
288,180.82,1033,0,47.43,us-east,medium,10
289,128.14,1346,0,4.26,us-east,medium,13
290,117.49,67,0,19.64,ap-south,medium,0
291,105.05,334,1,27.05,ap-south,large,2
292,110.53,667,0,7.19,ap-south,large,6
293,188.17,1266,1,54.98,us-east,small,12
294,105.27,469,0,64.54,us-east,medium,4
295,91.09,340,0,49.61,eu-west,large,2
296,116.62,179,1,29.98,eu-west,medium,1
297,224.59,1616,1,53.56,ap-south,large,16
298,187.53,1998,0,34.51,us-east,small,19
299,143.41,329,1,31.06,us-east,small,2
300,187.66,1035,0,47.46,eu-west,medium,10
301,198.6,1521,1,36.79,us-east,small,15
302,196.03,629,0,66.52,us-east,small,5
303,195.95,740,1,51.19,us-east,medium,7
304,123.75,944,0,16.47,eu-west,medium,9
305,111.06,518,1,2.97,us-east,small,4
306,238.68,1195,1,47.12,us-east,small,11
307,203.41,1232,0,10.53,eu-west,small,12
308,174.97,1455,0,37.11,eu-west,medium,14
309,217.42,1860,0,3.82,us-east,small,18
310,166.42,650,0,51.7,ap-south,medium,6
311,107.29,344,1,23.27,eu-west,medium,3
312,174.55,1443,0,56.1,eu-west,large,14
313,229.95,1102,1,58.67,us-east,medium,10
314,191.25,801,1,41.4,us-east,small,7
315,153.9,1049,0,3.12,us-east,small,10
316,186.03,1223,0,49.65,eu-west,large,12
317,149.33,820,1,48.03,us-east,medium,7
318,177.65,1444,1,32.04,eu-west,medium,14
319,130.54,101,0,27.37,us-east,small,0
320,131.35,1114,0,44.08,ap-south,large,10
321,137.1,1315,1,33.0,eu-west,medium,12
322,103.65,1549,1,16.07,us-east,large,15
323,140.14,1445,0,66.0,ap-south,large,14
324,154.73,547,0,52.15,us-east,medium,5
325,172.23,1201,1,12.25,ap-south,large,11
326,241.59,1516,0,37.14,us-east,small,15
327,137.35,497,0,66.99,us-east,small,4
328,219.46,1201,1,46.45,us-east,small,11
329,158.62,1909,1,14.57,us-east,medium,19
330,140.78,1036,0,30.29,us-east,medium,10
331,202.51,1953,0,15.2,eu-west,medium,19
332,135.28,118,0,33.57,us-east,small,0
333,203.19,914,0,61.61,eu-west,medium,8
334,199.4,1687,0,64.79,us-east,small,16
335,153.04,324,0,55.96,us-east,small,2
336,129.23,1341,1,19.53,ap-south,large,13
337,102.48,919,1,2.16,ap-south,large,8
338,157.72,1306,1,42.49,eu-west,medium,12
339,140.76,267,0,13.95,us-east,small,2
340,172.0,1055,1,16.77,us-east,medium,10
341,162.33,846,1,14.1,us-east,small,8
342,156.27,1068,0,1.0,eu-west,medium,10
343,247.45,1764,0,10.27,us-east,small,17
344,122.67,533,0,25.0,eu-west,medium,4
345,206.74,1074,0,50.85,eu-west,small,10
346,151.83,368,1,28.32,us-east,small,3
347,118.05,1505,1,32.2,eu-west,large,14
348,87.23,338,1,29.36,eu-west,large,2
349,146.32,1088,0,36.84,eu-west,large,10
350,227.3,1545,1,30.61,eu-west,small,15
351,130.58,110,1,47.96,eu-west,medium,0
352,149.83,1040,0,37.02,ap-south,large,10
353,184.71,591,0,58.22,us-east,small,5
354,152.06,689,0,19.17,us-east,small,6
355,181.44,1731,0,43.54,ap-south,large,17
356,107.06,1691,1,18.48,eu-west,large,16
357,209.11,1906,0,30.53,eu-west,medium,19
358,180.1,1385,0,26.72,us-east,medium,13
359,144.68,353,0,16.09,us-east,small,3
360,121.68,227,1,69.78,eu-west,large,1
361,116.07,1880,0,56.71,ap-south,large,18
362,110.93,321,0,34.04,us-east,medium,2
363,213.2,1684,1,11.55,ap-south,medium,16
364,190.41,1035,1,52.73,us-east,small,10
365,223.27,1813,1,7.9,us-east,medium,18
366,219.73,995,1,66.82,us-east,small,9
367,194.06,1208,0,15.97,eu-west,small,11
368,116.28,345,0,8.73,eu-west,medium,3
369,195.39,1982,0,7.54,us-east,small,19
370,164.38,773,1,13.85,us-east,small,7
371,106.26,1267,0,17.78,ap-south,large,12
372,153.84,462,0,40.89,us-east,small,4
373,251.51,1089,1,64.95,us-east,small,10
374,225.09,719,1,55.13,eu-west,small,6
375,161.17,1064,0,68.42,us-east,small,10
376,168.22,1164,0,46.33,ap-south,large,11
377,234.41,1803,0,57.56,us-east,small,17
378,164.76,724,1,49.12,eu-west,medium,6
379,101.54,143,0,54.69,ap-south,large,0
380,199.11,1711,0,3.21,us-east,small,17
381,214.49,1611,0,56.01,eu-west,medium,16
382,155.06,709,0,44.49,ap-south,medium,6
383,184.41,1234,1,41.54,us-east,small,12
384,182.42,1554,1,9.05,us-east,medium,15
385,150.86,324,0,19.86,us-east,small,2
386,137.95,348,1,20.85,us-east,small,3
387,215.12,1310,1,51.91,eu-west,small,12
388,196.48,1596,1,40.79,ap-south,large,15
389,164.51,1543,1,5.72,ap-south,large,15
390,236.36,948,1,48.49,eu-west,small,9
391,236.64,1565,0,60.96,eu-west,small,15
392,91.59,389,0,25.22,eu-west,large,3
393,164.16,944,1,44.9,us-east,small,9
394,152.27,1637,1,45.16,ap-south,large,16
395,124.99,563,1,41.94,eu-west,large,5
396,186.13,1975,0,2.67,ap-south,large,19
397,163.12,401,0,67.89,ap-south,medium,3
398,101.88,156,0,8.34,eu-west,medium,1
399,190.15,1534,0,53.26,ap-south,large,15
400,124.98,83,0,15.17,us-east,small,0
401,89.89,237,0,58.19,us-east,large,1
402,154.84,290,0,40.69,us-east,small,2
403,122.04,1740,0,44.93,ap-south,large,17
404,231.42,1571,1,56.94,eu-west,medium,15
405,185.86,1058,1,56.73,eu-west,medium,10
406,300.54,1681,1,60.48,us-east,small,16
407,172.06,594,1,33.19,us-east,small,5
408,168.76,768,0,48.51,eu-west,medium,7
409,170.97,1159,0,67.61,ap-south,large,11
410,65.23,295,0,11.28,us-east,large,2
411,177.89,1406,0,49.64,eu-west,medium,13
412,91.38,280,1,30.62,us-east,large,2
413,235.96,1591,0,25.04,us-east,small,15
414,190.15,1671,1,41.19,eu-west,medium,16
415,214.36,1572,1,18.59,ap-south,large,15
416,134.42,1707,1,26.79,eu-west,large,16
417,86.93,64,0,28.74,ap-south,large,0
418,173.01,1639,1,32.41,ap-south,large,16
419,167.5,1041,0,16.58,ap-south,large,10
420,229.15,1762,1,26.43,eu-west,medium,17
421,142.77,516,0,8.0,us-east,small,4
422,244.67,1761,0,37.78,ap-south,large,17
423,206.0,1404,0,32.35,ap-south,medium,13
424,86.66,511,0,13.33,eu-west,large,4
425,236.13,1693,1,13.79,ap-south,small,16
426,150.97,1328,1,28.52,ap-south,large,13
427,206.62,1163,0,48.4,us-east,small,11
428,197.04,508,1,63.4,eu-west,small,4
429,108.49,536,0,12.11,eu-west,medium,4
430,122.76,463,0,54.33,ap-south,large,4
431,146.07,159,0,57.76,us-east,small,1
432,205.0,1988,1,2.79,ap-south,large,19
433,88.13,929,1,8.73,eu-west,medium,9
434,76.74,149,0,62.24,us-east,large,1
435,140.26,147,0,35.37,eu-west,small,0
436,188.35,1171,1,14.79,eu-west,medium,11
437,215.78,1524,0,3.68,ap-south,small,15
438,148.61,1321,0,37.67,eu-west,medium,13
439,173.62,1165,0,26.37,us-east,small,11
440,202.53,1123,0,68.82,us-east,medium,10
441,122.8,964,1,57.15,us-east,large,9
442,205.42,971,0,3.24,us-east,small,9
443,142.26,906,0,67.7,us-east,large,8
444,174.69,1691,0,11.44,eu-west,medium,16
445,247.51,1938,0,44.36,eu-west,medium,19
446,195.9,799,0,48.47,us-east,small,7
447,190.94,688,0,46.06,us-east,small,6
448,135.48,1420,1,36.48,us-east,medium,14
449,186.58,1465,1,35.38,us-east,small,14
450,152.75,933,0,17.95,ap-south,medium,9
451,184.8,1257,0,35.83,us-east,small,12
452,163.01,248,1,49.39,ap-south,medium,2
453,133.35,472,1,66.91,ap-south,large,4
454,141.65,1688,1,8.87,ap-south,large,16
455,147.82,1983,0,22.61,eu-west,medium,19
456,138.69,429,1,67.67,ap-south,large,3
457,234.82,1367,1,61.51,ap-south,large,13
458,170.53,1752,0,12.75,eu-west,medium,17
459,121.07,886,0,7.37,ap-south,large,8
460,232.53,1178,1,45.18,ap-south,large,11
461,121.09,471,0,60.71,ap-south,large,4
462,192.12,400,1,64.95,us-east,small,3
463,184.71,574,0,30.38,eu-west,small,5
464,137.47,291,0,13.01,us-east,small,2
465,222.59,1571,1,3.28,eu-west,small,15
466,122.5,531,0,24.7,eu-west,medium,4
467,134.02,806,0,13.18,eu-west,large,7
468,134.28,408,1,10.97,ap-south,medium,3
469,139.53,1373,1,5.28,eu-west,medium,13
470,213.55,1917,1,59.04,ap-south,large,19
471,104.82,700,0,58.89,ap-south,large,6
472,167.86,854,1,59.18,ap-south,large,8
473,292.64,1824,1,8.03,eu-west,small,18
474,173.03,878,1,17.62,eu-west,small,8
475,134.66,1589,1,16.64,eu-west,medium,15
476,142.7,1230,0,37.3,ap-south,large,12
477,186.72,927,1,30.83,eu-west,small,8
478,172.53,1433,0,63.41,us-east,medium,14
479,170.94,733,1,45.72,ap-south,large,7
480,235.06,1775,0,33.05,ap-south,large,17
481,221.36,414,1,69.37,ap-south,small,3
482,121.29,914,0,32.44,eu-west,medium,8
483,125.59,486,0,16.19,ap-south,medium,4
484,177.44,1014,0,57.44,us-east,small,9
485,181.53,480,1,56.43,ap-south,medium,4
486,183.58,641,0,62.17,eu-west,small,6
487,287.96,1840,1,52.28,us-east,small,18
488,187.82,312,1,61.31,us-east,small,2
489,255.29,1229,1,55.77,us-east,small,12
490,206.74,1432,1,62.05,us-east,small,14
491,109.46,471,0,49.48,ap-south,large,4
492,156.44,407,1,47.52,us-east,small,3
493,128.32,456,0,64.66,us-east,medium,4
494,130.48,245,0,25.79,ap-south,medium,1
495,140.37,86,1,34.92,us-east,small,0
496,237.69,1620,1,18.25,us-east,small,16
497,191.58,728,0,12.62,us-east,small,6
498,116.86,1284,1,6.82,ap-south,large,12
499,138.78,695,1,40.16,ap-south,large,6
500,167.21,1035,0,55.24,ap-south,large,10
501,164.82,1502,1,48.38,ap-south,medium,14
502,102.12,100,0,69.66,ap-south,large,0
503,176.05,726,0,20.87,ap-south,medium,6
504,137.97,996,0,38.13,ap-south,medium,9
505,162.23,1508,0,49.88,us-east,medium,14
506,142.84,329,0,17.01,eu-west,small,2
507,133.76,384,0,17.17,us-east,small,3
508,172.38,1903,1,37.85,eu-west,large,18
509,148.4,815,1,1.42,us-east,medium,7
510,95.84,1426,1,13.53,ap-south,medium,14
511,187.92,1465,0,66.19,us-east,small,14
512,212.35,1516,0,30.08,us-east,medium,15
513,119.22,1262,0,15.74,us-east,medium,12
514,149.94,121,1,68.21,eu-west,medium,0
515,142.33,94,0,64.1,us-east,small,0
516,110.48,1501,1,15.28,us-east,medium,14
517,154.01,1299,0,21.31,ap-south,small,12
518,159.36,1033,0,26.09,us-east,medium,10
519,170.12,1674,1,15.2,ap-south,large,16
520,184.45,586,1,40.04,us-east,small,5
521,112.14,615,1,4.38,eu-west,medium,5
522,198.27,1794,0,10.11,ap-south,large,17
523,102.05,128,1,19.03,eu-west,medium,0
524,149.19,1769,0,15.67,ap-south,large,17
525,289.15,1610,0,60.08,us-east,small,15
526,159.79,242,0,45.31,eu-west,small,1
527,160.98,169,1,54.24,us-east,small,1
528,222.05,1887,0,30.23,us-east,small,18
529,103.98,71,0,69.89,ap-south,large,0
530,171.84,1323,1,37.58,eu-west,medium,13
531,165.3,547,1,54.49,us-east,small,5
532,156.1,423,1,24.29,eu-west,small,3
533,144.97,309,1,22.31,us-east,small,2
534,279.36,1127,0,49.8,eu-west,small,11
535,172.89,1549,1,2.92,eu-west,medium,15
536,135.32,1404,1,38.71,ap-south,large,13
537,229.69,1988,1,56.8,us-east,small,19
538,180.23,1316,0,48.69,ap-south,large,12
539,155.73,371,1,42.87,us-east,small,3
540,100.2,98,0,9.48,eu-west,medium,0
541,147.86,619,1,35.08,eu-west,medium,5
542,113.77,227,0,30.19,eu-west,medium,1
543,212.45,1133,0,8.2,eu-west,small,11
544,161.46,1926,1,2.28,eu-west,medium,19
545,170.33,1534,1,34.13,ap-south,large,15
546,65.6,300,0,23.47,us-east,large,2
547,147.26,157,0,60.58,us-east,small,1
548,245.74,1222,1,64.67,ap-south,large,12
549,119.18,1949,1,51.68,us-east,medium,19
550,128.82,1023,0,12.98,eu-west,medium,9
551,182.41,1932,0,56.29,us-east,medium,19
552,115.73,833,0,18.08,us-east,medium,8
553,196.09,1881,0,19.58,us-east,small,18
554,233.46,1673,0,29.77,us-east,small,16
555,120.36,226,0,4.12,us-east,small,1
556,133.13,1324,1,61.63,ap-south,large,13
557,197.39,294,1,60.4,eu-west,small,2
558,139.54,1066,1,4.05,ap-south,large,10
559,153.58,95,0,55.25,eu-west,small,0
560,166.36,1787,0,45.99,us-east,medium,17
561,221.82,458,1,63.49,ap-south,small,4
562,174.09,69,1,67.29,us-east,small,0
563,264.0,1979,1,54.88,us-east,small,19
564,171.68,963,1,18.03,ap-south,medium,9
565,254.58,1795,0,48.48,eu-west,medium,17
566,104.93,557,0,12.25,ap-south,large,5
567,64.05,182,1,10.24,eu-west,large,1
568,170.56,1204,1,64.62,us-east,large,11
569,130.89,1971,0,27.86,ap-south,large,19
570,169.77,920,0,59.87,eu-west,medium,8
571,154.29,385,0,33.97,us-east,small,3
572,156.45,1922,1,20.79,ap-south,large,19
573,222.98,1606,1,5.83,us-east,small,15
574,202.53,1393,0,9.35,us-east,small,13
575,172.55,1576,1,62.59,eu-west,large,15
576,175.47,629,0,25.26,eu-west,small,5
577,133.83,562,0,62.93,ap-south,large,5
578,149.9,1386,0,47.19,eu-west,medium,13
579,213.45,1089,1,39.19,us-east,small,10
580,204.74,1847,0,55.99,eu-west,medium,18
581,266.82,1727,0,35.47,us-east,small,17
582,194.9,1531,1,47.35,us-east,medium,15
583,138.12,921,1,30.59,eu-west,large,8
584,180.38,1852,1,22.91,us-east,medium,18
585,201.3,774,1,24.88,eu-west,small,7
586,234.22,1355,1,68.98,us-east,small,13
587,152.28,835,0,45.34,ap-south,large,8
588,292.53,1901,1,59.57,ap-south,medium,18
589,149.48,569,1,49.89,ap-south,large,5
590,198.71,1900,1,45.72,ap-south,medium,18
591,244.44,1906,1,64.0,eu-west,small,19
592,172.02,1270,0,58.62,us-east,small,12
593,141.84,988,1,27.64,eu-west,medium,9
