chat_id,issue_type,prompt,reply_length,llm_score
203,missing item,v2,180,63.0
204,wrong order,v2,252,65.3
205,wrong order,v3,348,80.1
206,missing item,v3,352,88.7
207,wrong order,v2,387,75.6
208,late delivery,v3,204,74.7
209,late delivery,v3,237,86.8
210,missing item,v3,256,72.8
211,payment problem,v2,236,58.0
212,payment problem,v2,252,65.9
213,payment problem,v3,398,72.1
214,late delivery,v3,194,76.4
215,missing item,v2,191,65.7
216,late delivery,v3,200,82.1
217,wrong order,v2,281,65.1
218,late delivery,v3,242,80.1
219,payment problem,v2,329,67.8
220,payment problem,v2,247,64.7
221,wrong order,v2,395,80.7
222,late delivery,v2,106,67.5
223,missing item,v3,244,71.1
224,late delivery,v3,237,77.6
225,missing item,v2,229,67.2
226,late delivery,v3,302,81.1
227,payment problem,v3,372,74.1
228,payment problem,v2,357,72.0
229,late delivery,v2,85,61.8
230,late delivery,v3,304,86.8
231,wrong order,v3,185,64.0
232,payment problem,v2,327,65.3
233,wrong order,v3,286,71.8
234,late delivery,v3,235,76.0
235,late delivery,v3,153,67.4
236,missing item,v2,145,62.5
237,wrong order,v2,225,64.6
238,late delivery,v2,97,69.5
239,missing item,v2,193,71.1
240,late delivery,v2,112,65.0
241,late delivery,v3,131,73.2
242,late delivery,v3,174,71.1
243,payment problem,v2,242,53.7
244,missing item,v2,152,66.7
245,late delivery,v3,206,73.3
246,payment problem,v3,245,65.6
247,late delivery,v2,108,65.4
248,wrong order,v3,233,69.1
249,late delivery,v3,130,69.1
250,late delivery,v2,133,66.0
251,late delivery,v3,270,78.2
252,missing item,v2,126,63.6
253,late delivery,v3,182,76.3
254,payment problem,v2,303,63.2
255,missing item,v3,200,73.0
256,late delivery,v3,239,82.1
257,wrong order,v3,328,78.2
258,payment problem,v3,337,64.6
259,wrong order,v2,265,65.6
260,payment problem,v3,240,59.7
261,late delivery,v3,123,73.8
262,wrong order,v2,185,55.9
263,payment problem,v2,287,62.9
264,late delivery,v2,225,69.5
265,missing item,v3,243,73.8
266,payment problem,v2,228,60.3
267,missing item,v3,205,66.6
268,late delivery,v2,132,64.0
269,payment problem,v3,343,71.1
270,wrong order,v2,205,60.5
271,payment problem,v2,287,70.2
272,late delivery,v2,124,66.7
273,missing item,v3,218,78.2
274,wrong order,v2,310,62.2
275,missing item,v2,308,73.8
276,missing item,v3,268,80.2
277,wrong order,v2,201,54.2
278,payment problem,v2,283,61.7
279,wrong order,v3,224,68.5
280,late delivery,v3,193,73.0
281,missing item,v3,202,66.3
282,payment problem,v2,213,51.3
283,late delivery,v3,201,75.6
284,missing item,v2,189,63.5
285,payment problem,v3,343,70.9
286,late delivery,v2,151,64.9
287,late delivery,v2,170,63.3
288,late delivery,v3,272,81.6
289,payment problem,v2,278,61.5
290,late delivery,v3,259,86.7
291,missing item,v3,299,80.7
292,missing item,v2,168,56.0
293,wrong order,v3,271,72.4
294,late delivery,v2,250,76.1
295,payment problem,v2,278,61.3
296,late delivery,v3,140,70.9
297,late delivery,v3,160,70.0
298,wrong order,v3,316,75.8
299,late delivery,v3,236,77.7
300,late delivery,v3,154,61.6
301,late delivery,v2,254,80.1
302,late delivery,v3,269,82.2
303,wrong order,v2,105,52.8
304,late delivery,v3,179,72.4
305,late delivery,v2,129,71.4
306,wrong order,v2,181,60.7
307,late delivery,v3,248,82.9
308,wrong order,v2,352,68.3
309,payment problem,v2,355,65.7
310,payment problem,v2,349,70.1
311,payment problem,v2,288,61.1
312,wrong order,v3,219,72.4
313,late delivery,v2,173,70.6
314,wrong order,v2,272,66.9
315,missing item,v3,205,75.6
316,missing item,v3,312,77.7
317,missing item,v2,256,77.0
318,late delivery,v3,158,74.1
319,late delivery,v3,179,72.4
320,late delivery,v2,121,70.3
321,late delivery,v3,170,72.0
322,late delivery,v3,209,72.0
323,payment problem,v3,276,57.6
324,payment problem,v2,308,61.2
325,late delivery,v3,226,72.4
326,wrong order,v3,219,61.5
327,missing item,v2,154,63.8
328,missing item,v2,247,72.3
329,wrong order,v2,211,63.8
330,late delivery,v3,269,80.7
331,missing item,v3,292,79.4
332,late delivery,v2,176,68.9
333,wrong order,v2,377,76.2
334,late delivery,v2,169,60.6
335,wrong order,v3,268,67.0
336,wrong order,v3,314,65.5
337,payment problem,v3,375,69.1
338,late delivery,v2,60,61.1
339,wrong order,v3,239,70.5
340,late delivery,v3,162,74.7
341,late delivery,v3,155,67.8
342,wrong order,v2,324,72.5
343,late delivery,v3,259,80.5
344,missing item,v3,212,72.8
345,missing item,v2,297,76.4
346,missing item,v3,178,71.5
347,late delivery,v3,229,75.0
348,late delivery,v3,192,72.4
349,wrong order,v2,263,71.2
350,late delivery,v2,219,66.5
351,payment problem,v2,289,56.5
352,missing item,v2,191,67.0
353,late delivery,v3,251,78.8
354,wrong order,v2,214,61.4
355,late delivery,v3,231,77.0
356,wrong order,v2,205,57.3
357,missing item,v2,227,79.0
358,late delivery,v2,159,70.6
359,late delivery,v2,134,68.8
360,missing item,v3,267,74.2
361,late delivery,v3,204,73.3
362,missing item,v2,118,65.8
363,payment problem,v3,361,71.0
364,late delivery,v3,173,77.2
365,missing item,v3,297,88.2
366,payment problem,v2,340,68.1
367,wrong order,v3,224,68.7
368,wrong order,v3,256,70.0
369,late delivery,v3,310,88.3
370,missing item,v2,185,63.8
371,late delivery,v2,266,75.5
372,missing item,v2,214,68.0
373,missing item,v2,166,61.4
374,missing item,v3,274,74.9
375,late delivery,v3,315,85.7
376,late delivery,v2,173,74.6
377,late delivery,v3,111,74.2
378,late delivery,v3,250,80.0
379,late delivery,v3,302,81.4
380,late delivery,v3,174,75.2
381,missing item,v3,301,79.2
382,missing item,v3,291,84.6
383,late delivery,v3,244,76.3
384,payment problem,v2,260,63.3
385,late delivery,v2,125,64.1
386,late delivery,v2,129,68.6
387,late delivery,v3,68,60.1
388,late delivery,v2,221,75.9
389,wrong order,v2,279,65.6
390,late delivery,v3,124,74.9
391,missing item,v2,229,67.8
392,missing item,v3,255,69.7
393,late delivery,v2,223,70.0
394,late delivery,v2,164,73.0
395,payment problem,v2,318,65.9
396,wrong order,v2,282,69.3
397,wrong order,v2,171,60.4
398,missing item,v3,222,72.8
399,payment problem,v2,287,63.7
400,late delivery,v3,305,84.4
401,payment problem,v3,460,82.4
402,late delivery,v3,191,80.4
403,late delivery,v3,178,77.9
404,wrong order,v2,287,70.6
405,wrong order,v2,258,65.8
406,wrong order,v2,345,76.5
407,late delivery,v2,107,67.1
408,payment problem,v2,274,61.3
409,payment problem,v2,318,65.5
410,wrong order,v2,192,61.0
411,missing item,v3,213,64.7
412,wrong order,v2,283,61.6
413,late delivery,v2,97,68.7
414,late delivery,v2,144,65.0
415,late delivery,v2,109,64.8
416,missing item,v3,222,69.8
417,wrong order,v3,339,79.5
418,missing item,v3,294,78.5
419,payment problem,v2,302,66.3
420,late delivery,v2,88,60.6
421,missing item,v3,243,75.7
422,late delivery,v2,121,71.8
423,wrong order,v3,311,70.9
424,late delivery,v2,153,70.5
425,wrong order,v2,132,61.2
426,late delivery,v2,206,74.5
427,missing item,v2,133,61.2
428,late delivery,v3,258,74.6
429,missing item,v2,193,67.5
430,missing item,v3,284,77.2
431,late delivery,v2,117,70.4
432,missing item,v2,207,66.2
433,payment problem,v3,171,55.0
434,wrong order,v3,182,63.7
435,wrong order,v3,252,67.5
436,payment problem,v3,367,67.9
437,payment problem,v2,375,69.0
438,late delivery,v3,152,74.6
439,wrong order,v2,167,56.4
440,missing item,v2,90,63.5
441,payment problem,v3,276,59.2
442,payment problem,v2,233,58.8
443,late delivery,v3,253,81.6
444,wrong order,v2,144,58.0
445,payment problem,v2,340,64.2
446,late delivery,v2,267,81.8
447,late delivery,v3,175,78.2
448,wrong order,v2,258,66.7
449,missing item,v2,144,65.4
450,missing item,v2,165,62.2
451,wrong order,v3,364,80.5
452,late delivery,v3,78,65.4
453,missing item,v2,181,66.0
454,late delivery,v2,175,71.6
455,wrong order,v3,329,79.2
456,late delivery,v3,229,76.4
457,missing item,v3,255,83.0
458,late delivery,v2,170,78.0
459,wrong order,v2,373,75.1
460,late delivery,v2,128,66.3
461,late delivery,v3,146,69.4
462,wrong order,v3,293,70.5
463,payment problem,v2,295,66.0
464,wrong order,v2,349,72.3
465,payment problem,v3,348,75.5
466,late delivery,v3,194,71.5
467,late delivery,v3,142,70.3
468,late delivery,v2,70,61.7
469,payment problem,v3,284,67.7
470,late delivery,v3,358,87.7
471,late delivery,v2,74,63.0
472,wrong order,v2,326,68.4
473,missing item,v3,192,75.2
474,wrong order,v2,249,69.0
475,payment problem,v3,219,61.8
476,late delivery,v2,123,63.5
477,late delivery,v3,208,81.0
478,missing item,v3,252,70.0
479,late delivery,v2,126,64.7
480,missing item,v3,241,76.9
481,missing item,v3,139,70.1
482,missing item,v3,94,68.2
483,late delivery,v3,285,85.6
484,late delivery,v3,216,73.5
485,missing item,v3,435,87.2
486,late delivery,v2,72,59.7
487,wrong order,v3,304,74.3
488,late delivery,v2,231,77.5
489,late delivery,v3,215,80.0
490,payment problem,v3,289,65.6
491,missing item,v2,231,73.1
492,payment problem,v2,282,65.1
493,late delivery,v3,231,82.5
494,late delivery,v3,170,73.5
495,late delivery,v2,193,75.2
496,missing item,v3,198,65.3
497,missing item,v3,290,79.8
498,late delivery,v2,162,60.0
499,missing item,v3,322,81.2
500,payment problem,v2,315,63.6
501,late delivery,v2,204,79.6
502,wrong order,v3,251,72.2
503,late delivery,v3,131,80.5
504,late delivery,v3,145,65.3
505,wrong order,v3,273,72.4
506,missing item,v3,172,70.4
507,missing item,v2,216,70.9
508,late delivery,v2,228,70.9
509,late delivery,v2,165,70.6
510,late delivery,v2,181,76.5
511,late delivery,v3,251,81.5
512,wrong order,v3,235,65.8
513,missing item,v3,283,75.4
514,missing item,v2,142,66.7
515,late delivery,v3,209,79.0
516,missing item,v2,205,63.4
517,missing item,v3,299,78.1
518,wrong order,v2,168,51.7
519,wrong order,v2,272,66.3
520,payment problem,v2,238,63.8
521,late delivery,v3,124,61.9
522,wrong order,v3,325,81.2
523,wrong order,v2,142,55.6
524,late delivery,v2,151,71.6
525,missing item,v2,242,71.8
526,wrong order,v2,200,59.5
527,payment problem,v3,434,74.0
528,missing item,v3,267,72.0
529,late delivery,v3,180,77.3
530,wrong order,v3,262,70.3
531,late delivery,v2,147,59.3
532,missing item,v3,325,81.3
533,late delivery,v3,214,76.9
534,missing item,v3,231,65.9
535,late delivery,v2,214,74.1
536,late delivery,v3,102,69.4
537,payment problem,v3,293,70.1
538,late delivery,v2,119,68.2
539,late delivery,v3,189,75.4
540,wrong order,v2,305,73.5
541,wrong order,v3,273,65.5
542,missing item,v2,268,73.9
543,late delivery,v3,133,70.2
544,late delivery,v3,273,88.3
545,late delivery,v2,181,75.8
546,late delivery,v2,173,70.3
547,missing item,v3,281,71.6
548,missing item,v2,278,80.6
549,missing item,v3,215,72.4
550,late delivery,v2,168,73.4
551,missing item,v2,173,59.0
552,missing item,v2,240,67.2
553,late delivery,v2,133,64.8
554,payment problem,v3,393,77.7
555,payment problem,v2,344,69.8
556,late delivery,v2,112,65.5
557,late delivery,v2,215,76.6
558,late delivery,v2,134,71.9
559,payment problem,v2,297,66.4
560,late delivery,v2,211,73.8
561,wrong order,v3,384,81.3
562,missing item,v3,225,70.9
563,payment problem,v3,299,67.0
564,payment problem,v2,192,49.1
565,late delivery,v2,129,68.7
566,missing item,v3,131,61.6
567,wrong order,v3,326,67.3
568,wrong order,v3,300,67.6
569,late delivery,v3,310,81.7
570,wrong order,v3,336,74.7
571,missing item,v3,275,75.6
572,late delivery,v2,145,68.3
573,late delivery,v2,292,79.9
574,wrong order,v2,244,70.2
575,late delivery,v3,147,71.0
576,missing item,v3,225,67.2
577,payment problem,v2,307,60.9
578,missing item,v3,244,78.6
579,late delivery,v2,240,76.3
580,wrong order,v2,181,62.5
581,missing item,v2,166,66.7
582,late delivery,v3,218,79.6
583,missing item,v3,245,80.1
584,late delivery,v3,114,73.6
585,late delivery,v2,156,64.5
586,missing item,v2,247,71.4
587,late delivery,v2,152,70.5
588,missing item,v2,155,63.8
589,late delivery,v3,239,73.4
590,late delivery,v2,177,73.6
591,wrong order,v3,258,67.1
592,late delivery,v3,164,75.0
593,wrong order,v2,263,70.0
594,late delivery,v3,148,77.4
595,late delivery,v3,164,73.6
596,payment problem,v3,307,61.8
597,wrong order,v2,339,71.0
598,late delivery,v2,81,67.6
599,wrong order,v2,207,63.5
600,late delivery,v2,173,71.0
601,late delivery,v3,197,78.8
602,payment problem,v2,202,50.8
603,wrong order,v3,328,81.4
604,missing item,v2,213,68.9
605,wrong order,v2,264,64.4
606,late delivery,v2,133,67.0
607,missing item,v3,114,61.7
608,wrong order,v2,247,62.8
609,missing item,v2,300,76.9
610,late delivery,v3,237,82.3
611,late delivery,v2,130,64.9
612,wrong order,v3,335,79.3
613,missing item,v3,173,66.3
614,wrong order,v3,303,75.5
615,wrong order,v3,368,78.3
616,late delivery,v3,191,75.2
617,late delivery,v3,161,75.8
618,missing item,v2,156,60.1
619,payment problem,v2,178,49.3
620,missing item,v2,264,77.5
621,late delivery,v2,129,72.8
622,missing item,v3,120,56.3
623,late delivery,v3,310,85.6
624,late delivery,v2,124,61.0
625,missing item,v2,160,64.3
626,wrong order,v2,250,63.5
627,wrong order,v2,207,70.2
628,wrong order,v2,148,51.3
629,wrong order,v3,194,67.1
630,late delivery,v2,265,80.2
631,late delivery,v2,253,75.5
632,late delivery,v2,109,61.6
633,late delivery,v3,157,70.0
634,late delivery,v3,196,81.5
635,payment problem,v3,415,68.0
636,payment problem,v2,368,66.3
637,missing item,v2,159,64.8
638,wrong order,v3,269,71.7
639,wrong order,v3,271,71.4
640,missing item,v2,236,67.2
641,wrong order,v3,299,74.8
642,late delivery,v3,94,67.4
643,missing item,v2,232,69.2
644,wrong order,v3,295,72.3
645,wrong order,v3,321,70.4
646,payment problem,v2,322,64.2
647,late delivery,v3,176,76.6
648,late delivery,v2,253,73.6
649,missing item,v3,269,75.7
650,wrong order,v2,275,61.2
651,wrong order,v3,202,67.6
652,late delivery,v2,259,87.5
653,missing item,v2,212,68.0
654,wrong order,v2,112,56.0
655,late delivery,v2,165,68.3
656,wrong order,v3,337,74.7
657,wrong order,v2,297,72.0
658,late delivery,v3,145,68.0
659,late delivery,v3,160,74.5
660,late delivery,v3,226,85.8
661,wrong order,v2,257,67.0
662,missing item,v3,207,73.0
663,missing item,v2,124,61.8
664,late delivery,v3,273,81.9
665,wrong order,v3,276,72.2
666,late delivery,v3,264,78.5
667,missing item,v2,150,57.8
668,late delivery,v3,178,70.8
669,missing item,v3,219,74.0
670,wrong order,v3,231,66.8
671,wrong order,v3,242,68.0
672,late delivery,v2,129,70.1
673,missing item,v3,176,67.7
674,missing item,v2,168,61.9
675,late delivery,v3,217,74.6
676,late delivery,v2,189,64.7
677,payment problem,v3,360,74.6
678,late delivery,v3,162,69.5
679,missing item,v3,279,73.0
680,payment problem,v2,265,58.3
681,wrong order,v3,301,74.4
682,late delivery,v3,157,71.4
683,missing item,v3,240,75.5
684,late delivery,v3,192,72.2
685,late delivery,v3,183,81.1
686,missing item,v2,219,75.3
687,payment problem,v2,305,67.0
688,payment problem,v3,411,74.1
689,late delivery,v3,270,82.1
690,missing item,v3,309,79.7
691,payment problem,v3,371,76.9
692,missing item,v2,192,60.7
693,payment problem,v3,344,75.7
694,missing item,v2,291,71.8
695,late delivery,v3,250,79.5
696,late delivery,v3,144,78.9
697,late delivery,v2,177,75.8
698,late delivery,v2,246,72.7
699,late delivery,v2,213,73.9
700,late delivery,v2,136,68.1
701,payment problem,v2,343,68.0
702,missing item,v2,243,71.5
703,payment problem,v2,259,61.3
704,missing item,v2,239,68.6
705,wrong order,v3,345,77.4
706,late delivery,v3,306,81.5
707,wrong order,v3,174,65.0
708,wrong order,v2,318,70.0
709,wrong order,v3,342,79.8
710,late delivery,v3,136,71.1
711,late delivery,v2,124,69.5
712,payment problem,v2,258,61.2
713,missing item,v3,309,78.5
714,late delivery,v3,189,70.4
715,wrong order,v2,266,64.4
716,payment problem,v2,246,61.3
717,payment problem,v3,276,67.4
718,late delivery,v2,121,69.5
719,late delivery,v2,79,63.4
720,late delivery,v2,225,76.2
721,wrong order,v2,190,58.5
722,payment problem,v3,381,65.8
723,late delivery,v3,149,71.0
724,wrong order,v3,290,74.7
725,payment problem,v2,199,46.5
726,late delivery,v3,275,85.0
727,wrong order,v2,297,66.2
728,late delivery,v3,225,87.2
729,late delivery,v3,88,59.2
730,late delivery,v3,209,79.9
731,missing item,v3,359,82.6
732,payment problem,v3,347,75.1
733,late delivery,v3,131,76.1
734,wrong order,v2,250,71.9
735,late delivery,v3,224,76.7
736,missing item,v2,257,65.7
737,late delivery,v3,226,81.3
738,late delivery,v3,108,73.2
739,late delivery,v3,181,75.0
740,missing item,v2,215,70.6
741,payment problem,v3,208,57.1
742,wrong order,v2,251,61.3
743,payment problem,v3,415,83.3
744,late delivery,v2,61,61.7
745,missing item,v3,239,75.7
746,wrong order,v3,246,67.3
747,missing item,v3,266,82.9
748,wrong order,v2,224,61.8
749,wrong order,v3,213,61.7
750,late delivery,v3,184,76.7
751,late delivery,v3,116,63.9
752,wrong order,v2,287,73.8
753,missing item,v3,357,86.8
754,late delivery,v3,220,81.8
755,payment problem,v3,350,68.6
756,missing item,v3,266,74.5
757,late delivery,v2,253,79.3
758,late delivery,v3,196,70.9
759,late delivery,v3,107,65.4
760,missing item,v3,182,70.6
761,payment problem,v2,244,57.9
762,late delivery,v3,173,77.1
763,payment problem,v2,341,74.8
764,missing item,v2,80,56.3
765,late delivery,v2,227,75.1
766,late delivery,v2,120,65.5
767,late delivery,v3,228,78.5
768,missing item,v2,265,67.9
769,missing item,v2,241,75.6
770,wrong order,v3,318,72.9
771,missing item,v2,206,65.3
772,payment problem,v2,297,65.8
773,missing item,v3,301,78.8
774,late delivery,v3,356,89.6
775,wrong order,v3,322,69.9
776,late delivery,v3,181,73.9
777,missing item,v2,231,70.6
778,wrong order,v2,207,61.8
779,payment problem,v2,258,62.2
780,missing item,v2,223,65.8
781,missing item,v3,205,73.0
782,late delivery,v3,215,78.2
783,payment problem,v3,344,71.3
784,missing item,v3,266,74.6
785,wrong order,v3,257,65.7
786,late delivery,v2,209,71.0
787,missing item,v2,174,70.7
788,late delivery,v2,189,75.7
789,wrong order,v2,182,58.8
790,payment problem,v2,259,58.6
791,late delivery,v3,246,77.0
792,missing item,v2,202,71.0
793,late delivery,v3,305,78.2
794,late delivery,v2,95,65.9
795,late delivery,v3,213,71.0
796,payment problem,v3,357,67.7
797,payment problem,v3,383,66.2
798,wrong order,v2,290,71.8
799,missing item,v2,331,82.9
800,missing item,v2,136,66.4
801,wrong order,v3,395,78.6
802,wrong order,v3,233,73.1
803,late delivery,v3,249,91.0
804,missing item,v3,246,75.4
805,missing item,v3,189,63.3
806,late delivery,v2,112,64.7
807,missing item,v3,255,73.0
808,wrong order,v2,137,62.2
809,late delivery,v2,218,76.2
810,payment problem,v3,345,64.9
811,payment problem,v3,430,82.2
812,payment problem,v3,324,65.1
813,late delivery,v3,194,74.8
814,late delivery,v2,155,71.9
815,payment problem,v2,261,62.4
816,missing item,v3,336,86.3
817,late delivery,v3,183,75.8
818,late delivery,v2,157,64.9
819,late delivery,v3,243,77.2
820,missing item,v2,148,60.5
821,late delivery,v3,220,83.3
822,late delivery,v2,120,68.1
823,late delivery,v2,192,73.3
824,payment problem,v3,150,53.4
825,late delivery,v2,91,67.6
826,missing item,v2,196,67.8
827,late delivery,v2,201,74.0
828,late delivery,v2,60,63.2
829,missing item,v3,234,73.5
830,late delivery,v3,281,87.7
831,late delivery,v3,246,77.6
832,missing item,v2,216,71.2
833,late delivery,v2,269,77.5
834,late delivery,v2,167,63.0
835,late delivery,v2,203,78.8
836,wrong order,v3,359,77.1
837,late delivery,v3,143,69.2
838,late delivery,v3,167,77.8
839,late delivery,v3,179,78.9
840,late delivery,v2,104,61.3
841,late delivery,v3,173,74.0
842,late delivery,v2,183,68.6
843,wrong order,v2,214,56.7
844,missing item,v2,217,69.2
845,late delivery,v2,135,67.0
846,late delivery,v3,311,86.8
847,late delivery,v3,168,71.0
848,wrong order,v3,224,61.8
849,late delivery,v2,130,69.6
850,missing item,v2,111,58.4
851,wrong order,v2,266,64.0
852,payment problem,v3,332,69.1
853,late delivery,v2,149,71.2
854,missing item,v2,178,69.2
855,wrong order,v2,309,71.7
856,late delivery,v2,81,59.2
857,payment problem,v3,262,67.1
858,wrong order,v3,224,68.4
859,wrong order,v3,269,72.0
860,wrong order,v3,146,55.2
861,late delivery,v3,111,66.1
862,missing item,v3,285,75.6
863,wrong order,v2,240,65.1
864,late delivery,v3,144,73.0
865,payment problem,v3,325,62.9
866,late delivery,v3,106,73.7
867,wrong order,v2,390,72.0
868,missing item,v3,268,75.2
869,missing item,v2,215,65.7
870,wrong order,v3,298,73.2
871,late delivery,v2,130,75.7
872,payment problem,v2,290,61.8
873,payment problem,v3,332,68.2
874,late delivery,v2,155,69.0
875,payment problem,v3,292,60.2
876,wrong order,v2,207,60.4
877,late delivery,v2,126,61.0
878,late delivery,v2,243,76.2
879,late delivery,v2,60,58.2
880,late delivery,v3,165,73.2
881,missing item,v3,173,69.6
882,wrong order,v3,243,68.1
883,missing item,v3,267,84.2
884,missing item,v3,354,80.9
